Willie Allemang|Leonard Nimoy Demonstrates the Magnavision Videodisc Player (1981)
James Earl Jones|Ennis' Gift (2000)
James Earl Jones|Excessive Force (1993)
James Earl Jones|Exorcist II: The Heretic (1977)
James Earl Jones|Family Thing, A (1996)
James Earl Jones|Fantasia/2000 (1999)
James Earl Jones|Field of Dreams (1989)
James Earl Jones|Finder's Fee (2001)
James Earl Jones|Flight of Dragons, The (1982)
James Earl Jones|Freddie as F.R.O.7 (1992)
James Earl Jones|Gang Related (1997)
James Earl Jones|Gardens of Stone (1987)
James Earl Jones|Good Luck (1996)
James Earl Jones|Great White Hope, The (1970)
James Earl Jones|Great Year, The (2004)
James Earl Jones|Greatest, The (1977)
James Earl Jones|Grim Prairie Tales (1990)
James Earl Jones|Hunt for Red October, The (1990)
James Earl Jones|Hunting of the Snark, The (1989)
James Earl Jones|Inside the Making of Dr. Strangelove (2000)
James Earl Jones|Jefferson in Paris (1995)
James Earl Jones|Judge Dredd (1995)
James Earl Jones|King: A Filmed Record... Montgomery to Memphis (1970)
James Earl Jones|Last Remake of Beau Geste, The (1977)
James Earl Jones|Lion King II: Simba's Pride, The (1998)
James Earl Jones|Lion King, The (1994)
James Earl Jones|Looking for Richard (1996)
James Earl Jones|Making of 'Jurassic Park', The (1995)
James Earl Jones|Malcolm X (1972)
James Earl Jones|Man, The (1972)
James Earl Jones|Matewan (1987)
James Earl Jones|Meteor Man, The (1993)
James Earl Jones|Michael Jackson: The Legend Continues (1988)
James Earl Jones|Monopoly Star Wars (1997)
James Earl Jones|Muhammad Ali: Through the Eyes of the World (2001)
James Earl Jones|My Little Girl (1986)
James Earl Jones|Naked Gun 33 1/3: The Final Insult (1994)
James Earl Jones|New York City... Come Visit the World (1998)
James Earl Jones|On the Q.T. (1999)
James Earl Jones|Our Friend, Martin (1999)
James Earl Jones|Papp Project, The (2001)
James Earl Jones|Patriot Games (1992)
James Earl Jones|Piece of the Action, A (1977)
James Earl Jones|Pinocchio and the Emperor of the Night (1987)
James Earl Jones|Primary Colors (1998)
James Earl Jones|Ramayana: The Legend of Prince Rama (1992)
James Earl Jones|Recess Christmas: Miracle on Third Street (2001)
James Earl Jones|River Niger, The (1976)
James Earl Jones|Sandlot 2, The (2005)
James Earl Jones|Sandlot, The (1993)
James Earl Jones|Scorchers (1991)
James Earl Jones|Second Coming, The (1992)
James Earl Jones|Sneakers (1992)
James Earl Jones|Sommersby (1993)
James Earl Jones|Soul Man (1986)
James Earl Jones|SpongeBob SquarePants Movie, The (2004)
James Earl Jones|Star Wars (1977)
James Earl Jones|Star Wars (1983)
James Earl Jones|Star Wars: Episode III - Revenge of the Sith (2005)
James Earl Jones|Star Wars: Episode V - The Empire Strikes Back (1980)
James Earl Jones|Star Wars: Episode VI - Return of the Jedi (1983)
James Earl Jones|Swashbuckler (1976)
James Earl Jones|Terrorgram (1988)
James Earl Jones|Three Fugitives (1989)
James Earl Jones|Tina Turner: One Last Time Live in Concert (2000)
James Earl Jones|True Identity (1991)
James Earl Jones|Twister: A Musical Catastrophe (2000)
James Earl Jones|Under a Killing Moon (1994)
James Earl Jones|Undercover Angel (1999)
Spike Jonze|Being John Malkovich (1999)
Harvey Keitel|Adam Sandler Goes to Hell (2001)
John F. Kennedy|Greatest Summer of My Life: Billy Crystal and the Making of '61*', The (2001)
Marc Kolbe|Adam Sandler Goes to Hell (2001)
Christopher Lee (I)|100 Years of Horror (1996)
Christopher Lee (I)|100 Years of Horror: Freaks (1996)
Christopher Lee (I)|100 Years of Horror: Giants and Dinosaurs (1996)
Christopher Lee (I)|100 Years of Horror: Maniacs (1996)
Christopher Lee (I)|100 Years of Horror: Scream Queens (1996)
Christopher Lee (I)|100 Years of Horror: Sorcerers (1996)
Christopher Lee (I)|100 Years of Horror: The Aristocrats of Evil (1996)
Christopher Lee (I)|100 Years of Horror: The Count and Company (1996)
Christopher Lee (I)|100 Years of Horror: The Double Demons (1996)
Christopher Lee (I)|100 Years of Horror: The Evil Unseeable (1996)
Christopher Lee (I)|100 Years of Horror: The Frankenstein Family (1996)
Christopher Lee (I)|100 Years of Horror: The Monster Makers (1996)
Christopher Lee (I)|100 Years of Horror: The Walking Dead (1996)
Christopher Lee (I)|100 Years of Horror: Witchcraft and Demons (1996)
Christopher Lee (I)|1941 (1979)
Christopher Lee (I)|Actor's Notebook: Christopher Lee (2002)
Christopher Lee (I)|Adventures of Young Indiana Jones: Adventures in the Secret Service, The (1999)
Christopher Lee (I)|Airport '77 (1977)
Christopher Lee (I)|Albino (1976)
Christopher Lee (I)|Alias John Preston (1956)
Christopher Lee (I)|Amere victoire (1957)
Christopher Lee (I)|Arabian Adventure (1979)
Christopher Lee (I)|Avaro, L' (1990)
Christopher Lee (I)|Babes in Bagdad (1952)
Christopher Lee (I)|Battle of the River Plate, The (1956)
Christopher Lee (I)|Battle of the V.1, The (1958)
Christopher Lee (I)|Bear Island (1979)
Christopher Lee (I)|Beat Girl (1960)
Christopher Lee (I)|Beyond Mombasa (1956)
Christopher Lee (I)|Blood of Fu Manchu, The (1968)
Christopher Lee (I)|Boucher, la star et l'orpheline, Le (1975)
Christopher Lee (I)|Brides of Fu Manchu, The (1966)
Christopher Lee (I)|Captain Horatio Hornblower R.N. (1951)
Christopher Lee (I)|Caravans (1978)
Christopher Lee (I)|Castello dei morti vivi, Il (1964)
Christopher Lee (I)|Century of Science Fiction, A (1996)
Christopher Lee (I)|Charlie and the Chocolate Factory (2005)
Christopher Lee (I)|Chute des aigles, La (1989)
Christopher Lee (I)|Circle of Iron (1978)
Christopher Lee (I)|Circus of Fear (1966)
Christopher Lee (I)|City of the Dead, The (1960)
Christopher Lee (I)|Cockleshell Heroes, The (1955)
Christopher Lee (I)|Conde Dracula, El (1970)
Christopher Lee (I)|Conquest: Frontier Wars (2001)
Christopher Lee (I)|Corpse Bride, The (2005)
Christopher Lee (I)|Corridor of Mirrors (1948)
Christopher Lee (I)|Corridors of Blood (1962)
Christopher Lee (I)|Creeping Flesh, The (1973)
Christopher Lee (I)|Crimson Pirate, The (1952)
Christopher Lee (I)|Curse III: Blood Sacrifice (1991)
Christopher Lee (I)|Curse of Frankenstein, The (1957)
Christopher Lee (I)|Curse of the Crimson Altar (1968)
Christopher Lee (I)|Dare to Dream (1998)
Christopher Lee (I)|Dark Avenger, The (1955)
Christopher Lee (I)|Dark Mission (Operacion cocaina) (1988)
Christopher Lee (I)|Dark Places (1973)
Christopher Lee (I)|Death Line (1972)
Christopher Lee (I)|Desperate Moves (1981)
Christopher Lee (I)|Destination Milan (1954)
Christopher Lee (I)|Devil Rides Out, The (1968)
Christopher Lee (I)|Devil's Agent, The (1961)
Christopher Lee (I)|Devil-Ship Pirates, The (1964)
Christopher Lee (I)|Diagnosis: Murder (1975)
Christopher Lee (I)|Dr. Terror's House of Horrors (1965)
Christopher Lee (I)|Dracula (1958)
Christopher Lee (I)|Dracula A.D. 1972 (1972)
Christopher Lee (I)|Dracula Has Risen from the Grave (1968)
Christopher Lee (I)|Dracula pere et fils (1976)
Christopher Lee (I)|Dracula: Prince of Darkness (1966)
Christopher Lee (I)|End of the World (1977)
Christopher Lee (I)|Ercole al centro della terra (1961)
Christopher Lee (I)|Everquest II (2004)
Christopher Lee (I)|Eye for an Eye, An (1981)
Christopher Lee (I)|Face of Eve, The (1968)
Christopher Lee (I)|Face of Fu Manchu, The (1965)
Christopher Lee (I)|Feast at Midnight, A (1994)
Christopher Lee (I)|Final Column (1955)
Christopher Lee (I)|Five Golden Dragons (1967)
Christopher Lee (I)|Folterkammer des Dr. Fu Man Chu, Die (1969)
Christopher Lee (I)|Fortune Is a Woman (1957)
Christopher Lee (I)|Four Musketeers, The (1974)
Christopher Lee (I)|Freelancer (2003)
Christopher Lee (I)|From Puppets to Pixels: Digital Characters in Episode II (2002)
Christopher Lee (I)|Frusta e il corpo, La (1963)
Christopher Lee (I)|Funny Man (1994)
Christopher Lee (I)|Geheimnis der gelben Narzissen, Das (1961)
Christopher Lee (I)|Girl, The (1986)
Christopher Lee (I)|Glubina (2006)
Christopher Lee (I)|GoldenEye: Rogue Agent (2004)
Christopher Lee (I)|Gorgon, The (1964)
Christopher Lee (I)|Greasepaint and Gore, Part 2: The Hammer Monsters of Roy Ashton (2004)
Christopher Lee (I)|Greasepaint and Gore: The Hammer Monsters of Phil Leakey (2004)
Christopher Lee (I)|Gremlins 2: The New Batch (1990)
Christopher Lee (I)|Hamlet (1948)
Christopher Lee (I)|Hands of Orlac, The (1961)
Christopher Lee (I)|Hannie Caulder (1971)
Christopher Lee (I)|Honeymoon Academy (1990)
Christopher Lee (I)|Horror Express (1973)
Christopher Lee (I)|Hound of the Baskervilles, The (1959)
Christopher Lee (I)|House of the Long Shadows (1983)
Christopher Lee (I)|House That Dripped Blood, The (1970)
Christopher Lee (I)|Howling II (1985)
Christopher Lee (I)|I, Monster (1971)
Christopher Lee (I)|Ian Fleming: 007's Creator (2000)
Christopher Lee (I)|Ill Met by Moonlight (1957)
Christopher Lee (I)|Innocents in Paris (1952)
Christopher Lee (I)|Inside 'The Man with the Golden Gun' (2000)
Christopher Lee (I)|Jackpot (1992)
Christopher Lee (I)|Jaguar Lives! (1979)
Christopher Lee (I)|Jinnah (1998)
Christopher Lee (I)|Jocks (1987)
Christopher Lee (I)|Julius Caesar (1970)
Christopher Lee (I)|Katarsis (1963)
Christopher Lee (I)|Keeper, The (1976)
Christopher Lee (I)|Killer Force (1976)
Christopher Lee (I)|Last Unicorn, The (1982)
Christopher Lee (I)|Last Unicorn, The (2006)
Christopher Lee (I)|Lolita (1962)
Christopher Lee (I)|Lord of the Rings: The Fellowship of the Ring, The (2001)
Christopher Lee (I)|Lord of the Rings: The Return of the King, The (2003)
Christopher Lee (I)|Lord of the Rings: The Two Towers, The (2002)
Christopher Lee (I)|Magic Christian, The (1969)
Christopher Lee (I)|Making of a Legend, The (2003)
Christopher Lee (I)|Maldicion de los Karnstein, La (1963)
Christopher Lee (I)|Man in Demand (1955)
Christopher Lee (I)|Man Who Could Cheat Death, The (1959)
Christopher Lee (I)|Man with the Golden Gun, The (1974)
Christopher Lee (I)|Manuela (1957)
Christopher Lee (I)|Many Faces of Christopher Lee, The (1996)
Christopher Lee (I)|Mask of Murder (1985)
Christopher Lee (I)|May Day (2004)
Christopher Lee (I)|Meatcleaver Massacre (1977)
Christopher Lee (I)|Mio min Mio (1987)
Christopher Lee (I)|Moulin Rouge (1952)
Christopher Lee (I)|Mummy, The (1959)
Christopher Lee (I)|Murder Story (1989)
Christopher Lee (I)|My Brother's Keeper (1948)
Christopher Lee (I)|New Magic (1983)
Christopher Lee (I)|Night of the Big Heat (1967)
Christopher Lee (I)|Nothing But the Night (1972)
Christopher Lee (I)|Nutcracker Fantasy (1979)
Christopher Lee (I)|Oblong Box, The (1969)
Christopher Lee (I)|One Night with You (1948)
Christopher Lee (I)|Passage, The (1979)
Christopher Lee (I)|Paul Temple Returns (1952)
Christopher Lee (I)|Penny and the Pownall Case (1948)
Christopher Lee (I)|Pirates of Blood River, The (1962)
Christopher Lee (I)|Police Academy: Mission to Moscow (1994)
Christopher Lee (I)|Police Dog (1955)
Christopher Lee (I)|Port Afrique (1956)
Christopher Lee (I)|Prelude to Fame (1950)
Christopher Lee (I)|Private Life of Sherlock Holmes, The (1970)
Christopher Lee (I)|Private's Progress (1956)
Christopher Lee (I)|Rainbow Thief, The (1990)
Christopher Lee (I)|Rasputin: The Mad Monk (1966)
Christopher Lee (I)|Return from Witch Mountain (1978)
Christopher Lee (I)|Return of Captain Invincible, The (1983)
Christopher Lee (I)|Return of the Musketeers, The (1989)
Christopher Lee (I)|Rivieres pourpres 2 - Les anges de l'apocalypse, Les (2004)
Christopher Lee (I)|Rocky Interactive Horror Show, The (1999)
Christopher Lee (I)|Rosebud Beach Hotel, The (1984)
Christopher Lee (I)|Ratsel der roten Orchidee, Das (1962)
Christopher Lee (I)|Revolution francaise, La (1989)
Christopher Lee (I)|Safari 3000 (1982)
Christopher Lee (I)|Salamander, The (1981)
Christopher Lee (I)|Saraband for Dead Lovers (1948)
Christopher Lee (I)|Satanic Rites of Dracula, The (1974)
Christopher Lee (I)|Scars of Dracula (1970)
Christopher Lee (I)|Schlangengrube und das Pendel, Die (1967)
Christopher Lee (I)|Scott of the Antarctic (1948)
Christopher Lee (I)|Scream and Scream Again (1969)
Christopher Lee (I)|Serial (1980)
Christopher Lee (I)|Shaka Zulu (1987)
Christopher Lee (I)|Sherlock Holmes und das Halsband des Todes (1962)
Christopher Lee (I)|Skull, The (1965)
Christopher Lee (I)|Sleepy Hollow (1999)
Christopher Lee (I)|Sleepy Hollow: Behind the Legend (2000)
Christopher Lee (I)|Song of Tomorrow (1948)
Christopher Lee (I)|Star Wars: Episode II - Attack of the Clones (2002)
Christopher Lee (I)|Star Wars: Episode III - Revenge of the Sith (2005)
Christopher Lee (I)|Starship Invasions (1977)
Christopher Lee (I)|Storm Over the Nile (1955)
Christopher Lee (I)|Stranglehold (1962)
Christopher Lee (I)|Stupids, The (1996)
Christopher Lee (I)|Tale of the Mummy (1998)
Christopher Lee (I)|Tale of Two Cities, A (1958)
Christopher Lee (I)|Taste of Fear (1961)
Christopher Lee (I)|Taste the Blood of Dracula (1970)
Christopher Lee (I)|Tempi duri per i vampiri (1959)
Christopher Lee (I)|Ten Little Indians (1965)
Christopher Lee (I)|Terror of the Tongs, The (1961)
Christopher Lee (I)|That Lady (1955)
Christopher Lee (I)|Theatre of Death (1966)
Christopher Lee (I)|They Were Not Divided (1950)
Christopher Lee (I)|Three Musketeers, The (1973)
Christopher Lee (I)|To the Devil a Daughter (1976)
Christopher Lee (I)|To the Devil... The Death of Hammer (2002)
Christopher Lee (I)|Too Hot to Handle (1960)
Christopher Lee (I)|Top Secret (1952)
Christopher Lee (I)|Traitor, The (1957)
Christopher Lee (I)|Treasure of San Teresa, The (1959)
Christopher Lee (I)|Trono di fuoco, Il (1970)
Christopher Lee (I)|Trottie True (1949)
Christopher Lee (I)|Truth About Women, The (1958)
Christopher Lee (I)|Two Faces of Dr. Jekyll, The (1960)
Christopher Lee (I)|Umbracle, El (1970)
Christopher Lee (I)|Vacances de M. Hulot, Les (1953)
Christopher Lee (I)|Valhalla (1986)
Christopher Lee (I)|Valley of Eagles (1951)
Christopher Lee (I)|Vampir-Cuadecuc (1970)
Christopher Lee (I)|Vampire Interviews, The (1994)
Christopher Lee (I)|Vem var Dracula? (1975)
Christopher Lee (I)|Vengeance of Fu Manchu, The (1967)
Christopher Lee (I)|Vergine di Norimberga, La (1963)
Christopher Lee (I)|Victims of Terror (1967)
Christopher Lee (I)|Welcome to the Discworld (1996)
Christopher Lee (I)|Wicker Man Enigma, The (2001)
Christopher Lee (I)|Wicker Man, The (1973)
Kevin Lee (IV)|Being John Malkovich (1999)
Tom 'Tiny' Lister Jr.|Adam Sandler Goes to Hell (2001)
Eddie J. Low|Being John Malkovich (1999)
John Malkovich|13 French Street (2005)
John Malkovich|Adaptation. (2002)
John Malkovich|Al di la delle nuvole (1995)
John Malkovich|Alive (1993)
John Malkovich|American Arts & Culture Presents John Horatio Malkovich 'Dance of Despair & Disillusionment' (2000)
John Malkovich|Art School Confidential (2004)
John Malkovich|Being John Malkovich (1999)
John Malkovich|Cannes Man (1996)
John Malkovich|Cheshmane John Malkovich (2004)
John Malkovich|Colour Me Kubrick (2005)
John Malkovich|Con Air (1997)
John Malkovich|Convento, O (1995)
John Malkovich|Dancer Upstairs, The (2002)
John Malkovich|Dangerous Liaisons (1988)
John Malkovich|Eleni (1985)
John Malkovich|Empire of the Sun (1987)
John Malkovich|Glass Menagerie, The (1987)
John Malkovich|Hideous Man (2002)
John Malkovich|Hitchhiker's Guide to the Galaxy, The (2005)
John Malkovich|Hotel (2001)
John Malkovich|In the Line of Fire (1993)
John Malkovich|Je rentre a la maison (2001)
John Malkovich|Jennifer Eight (1992)
John Malkovich|Johnny English (2003)
John Malkovich|Killing Fields, The (1984)
John Malkovich|Klimt (2005)
John Malkovich|Knockaround Guys (2001)
John Malkovich|Libertine, The (2004)
John Malkovich|Making Mr. Right (1987)
John Malkovich|Man in the Iron Mask, The (1998)
John Malkovich|Mary Reilly (1996)
John Malkovich|Messenger: The Story of Joan of Arc, The (1999)
John Malkovich|Miles from Home (1988)
John Malkovich|Mulholland Falls (1996)
John Malkovich|Object of Beauty, The (1991)
John Malkovich|Of Mice and Men (1992)
John Malkovich|Places in the Heart (1984)
John Malkovich|Portrait of a Lady, The (1996)
John Malkovich|Private Conversations (1986)
John Malkovich|Queens Logic (1991)
John Malkovich|Rabbit Ears: Santabear's High Flying Adventure (1987)
John Malkovich|Ripley's Game (2002)
John Malkovich|Rounders (1998)
John Malkovich|Shadow of the Vampire (2000)
John Malkovich|Shadows and Fog (1992)
John Malkovich|Sheltering Sky, The (1990)
John Malkovich|Speak Truth to Power (2000)
John Malkovich|Temps retrouve, Le (1999)
John Malkovich|Um Filme Falado (2003)
John Malkovich|Unhold, Der (1996)
John Malkovich|Ames fortes, Les (2001)
Mickey Mantle|Greatest Summer of My Life: Billy Crystal and the Making of '61*', The (2001)
Roger Maris|Greatest Summer of My Life: Billy Crystal and the Making of '61*', The (2001)
Aredeshir Monazzam|Cheshmane John Malkovich (2004)
Craig A. Mumma|Adam Sandler Goes to Hell (2001)
Bill Murray (I)|Angelic Attire: Dressing Cameron, Drew & Lucy (2000)
Bill Murray (I)|Best of Dan Aykroyd, The (1986)
Bill Murray (I)|Best of Gilda Radner, The (1989)
Bill Murray (I)|Best of John Belushi, The (1985)
Bill Murray (I)|Caddyshack (1980)
Bill Murray (I)|Caddyshack: The 19th Hole (1999)
Bill Murray (I)|Charlie's Angels (2000)
Bill Murray (I)|Chainon manquant, Le (1980)
Bill Murray (I)|Coffee and Cigarettes (2003)
Bill Murray (I)|Cradle Will Rock (1999)
Bill Murray (I)|Ed Wood (1994)
Bill Murray (I)|Garfield (2004)
Bill Murray (I)|Getting G'd Up (2000)
Bill Murray (I)|Ghost Busters (1984)
Bill Murray (I)|Ghostbusters 1999 (1999)
Bill Murray (I)|Ghostbusters II (1989)
Bill Murray (I)|Ghostbusters' SFX Team Featurette (1999)
Bill Murray (I)|Groundhog Day (1993)
Bill Murray (I)|Kingpin (1996)
Bill Murray (I)|Larger Than Life (1996)
Bill Murray (I)|Life Aquatic with Steve Zissou, The (2004)
Bill Murray (I)|Little Shop of Horrors (1986)
Bill Murray (I)|Loose Shoes (1980)
Bill Murray (I)|Lost City, The (2004)
Bill Murray (I)|Lost in Translation (2003)
Bill Murray (I)|Lost on Location: Behind the Scenes of 'Lost in Translation' (2004)
Bill Murray (I)|Mad Dog and Glory (1993)
Bill Murray (I)|Man Who Knew Too Little, The (1997)
Bill Murray (I)|Master and the Angels, The (2000)
Bill Murray (I)|Meatballs (1979)
Bill Murray (I)|Michael Jordan to the Max (2000)
Bill Murray (I)|Mr. Mike's Mondo Video (1979)
Bill Murray (I)|Next Stop, Greenwich Village (1976)
Bill Murray (I)|Nothing Lasts Forever (1984)
Bill Murray (I)|Osmosis Jones (2001)
Bill Murray (I)|Quick Change (1990)
Bill Murray (I)|Razor's Edge, The (1984)
Bill Murray (I)|Royal Tenenbaums, The (2001)
Bill Murray (I)|Rushmore (1998)
Bill Murray (I)|Saturday Night Live Christmas (1999)
Bill Murray (I)|Saturday Night Live: Game Show Parodies (1998)
Bill Murray (I)|Scout's Honor (1999)
Bill Murray (I)|Scrooged (1988)
Bill Murray (I)|She's Having a Baby (1988)
Bill Murray (I)|Space Jam (1996)
Bill Murray (I)|Speaking of Sex (2001)
Bill Murray (I)|Stars and Stripes 1 (2004)
Bill Murray (I)|Stars and Stripes 2 (2004)
Bill Murray (I)|Stripes (1981)
Bill Murray (I)|This Old Cub (2004)
Bill Murray (I)|Tootsie (1982)
Bill Murray (I)|Untitled Jim Jarmusch Project (2005)
Bill Murray (I)|What About Bob? (1991)
Bill Murray (I)|Where the Buffalo Roam (1980)
Bill Murray (I)|Wild Things (1998)
Bill Murray (I)|With Friends Like These... (1998)
James Murray (XIII)|Being John Malkovich (1999)
Kevin Nealon|Adam Sandler Goes to Hell (2001)
Leonard Nimoy|Armageddon: Target Earth (1998)
Leonard Nimoy|Atlantis: The Lost Empire (2001)
Leonard Nimoy|Balcony, The (1963)
Leonard Nimoy|Bangles Greatest Hits (1990)
Leonard Nimoy|Brain Eaters, The (1959)
Leonard Nimoy|Carpati: 50 Miles, 50 Years (1996)
Leonard Nimoy|Catlow (1971)
Leonard Nimoy|Deathwatch (1967)
Leonard Nimoy|Destiny in Space (1994)
Leonard Nimoy|First Men on the Moon, The (1997)
Leonard Nimoy|Francis Goes to West Point (1952)
Leonard Nimoy|Greenhouse Gamble (1992)
Leonard Nimoy|Halloween Tree, The (1993)
Leonard Nimoy|History Happened Here (2001)
Leonard Nimoy|Inside Star Trek: The Real Story (1998)
Leonard Nimoy|Invasion of the Body Snatchers (1978)
Leonard Nimoy|Jellies & Other Ocean Drifters (1996)
Leonard Nimoy|Kid Monk Baroni (1952)
Leonard Nimoy|Leonard Nimoy Demonstrates the Magnavision Videodisc Player (1981)
Leonard Nimoy|Life Apart: Hasidism in America, A (1997)
Leonard Nimoy|Mind Meld: Secrets Behind the Voyage of a Lifetime (2001)
Leonard Nimoy|Minyan in Kaifeng (2001)
Leonard Nimoy|Old Overland Trail (1953)
Leonard Nimoy|Pagemaster, The (1994)
Leonard Nimoy|Queen for a Day (1951)
Leonard Nimoy|Rashi: A Light After the Dark Ages (1999)
Leonard Nimoy|Rhubarb (1951)
Leonard Nimoy|Satan's Satellites (1958)
Leonard Nimoy|Seaman (1999)
Leonard Nimoy|Seven Days in May (1964)
Leonard Nimoy|Sinbad: Beyond the Veil of Mists (2000)
Leonard Nimoy|Star Trek III: The Search for Spock (1984)
Leonard Nimoy|Star Trek IV: The Voyage Home (1986)
Leonard Nimoy|Star Trek V: The Final Frontier (1989)
Leonard Nimoy|Star Trek VI: The Undiscovered Country (1991)
Leonard Nimoy|Star Trek: 25th Anniversary Enhanced (1992)
Leonard Nimoy|Star Trek: Judgment Rites (1994)
Leonard Nimoy|Star Trek: Strategic Operations Simulator (1983)
Leonard Nimoy|Star Trek: The Motion Picture (1979)
Leonard Nimoy|Star Trek: The Wrath of Khan (1982)
Leonard Nimoy|Stars of Star Wars: Interviews From the Cast, The (1999)
Leonard Nimoy|Story of Computer Graphics, The (1999)
Leonard Nimoy|Them! (1954)
Leonard Nimoy|Titanica (1995)
Leonard Nimoy|Transformers: The Movie, The (1986)
Leonard Nimoy|Trekkies (1997)
Leonard Nimoy|Twenty-Five Year Mission Tour, The (1992)
Leonard Nimoy|War of the Worlds: Great Books, The (1994)
Leonard Nimoy|William Shatner's Star Trek Memories (1995)
Leonard Nimoy|Zombies of the Stratosphere (1952)
Christopher Nolan|180: Christopher Nolan Interviews Al Pacino (2002)
Greg O'Neill|Being John Malkovich (1999)
Ozzy Osbourne|Adam Sandler Goes to Hell (2001)
Al Pacino|...And Justice for All (1979)
Al Pacino|180: Christopher Nolan Interviews Al Pacino (2002)
Al Pacino|88 Minutes (2005)
Al Pacino|America at the Movies (1976)
Al Pacino|Any Given Sunday (1999)
Al Pacino|Author! Author! (1982)
Al Pacino|Bobby Deerfield (1977)
Al Pacino|Carlito's Way (1993)
Al Pacino|Chinese Coffee (2000)
Al Pacino|City Hall (1996)
Al Pacino|Cruising (1980)
Al Pacino|Devil's Advocate, The (1997)
Al Pacino|Dick Tracy (1990)
Al Pacino|Dog Day Afternoon (1975)
Al Pacino|Donnie Brasco (1997)
Al Pacino|Frankie and Johnny (1991)
Al Pacino|Gigli (2003)
Al Pacino|Glengarry Glen Ross (1992)
Al Pacino|Godfather Trilogy: 1901-1980, The (1992)
Al Pacino|Godfather, The (1972)
Al Pacino|Godfather: Part II, The (1974)
Al Pacino|Godfather: Part III, The (1990)
Al Pacino|Heat (1995)
Al Pacino|Insider, The (1999)
Al Pacino|Insomnia (2002)
Al Pacino|Jonas in the Desert (1994)
Al Pacino|Kid Stays In the Picture, The (2002)
Al Pacino|Local Stigmatic, The (1989)
Al Pacino|Looking for Richard (1996)
Al Pacino|Madonna: Truth or Dare (1991)
Al Pacino|Me, Natalie (1969)
Al Pacino|Merchant of Venice, The (2004)
Al Pacino|Panic in Needle Park, The (1971)
Al Pacino|People I Know (2002)
Al Pacino|Pitch (1997)
Al Pacino|Recruit, The (2003)
Al Pacino|Revolution (1985)
Al Pacino|S1m0ne (2002)
Al Pacino|Scarecrow (1973)
Al Pacino|Scarface: Acting (2003)
Al Pacino|Scarface: Creating (2003)
Al Pacino|Scarface: The Rebirth (2003)
Al Pacino|Scent of a Woman (1992)
Al Pacino|Sea of Love (1989)
Al Pacino|Serpico (1973)
Al Pacino|Torch (2006)
Al Pacino|Two Bits (1995)
Al Pacino|Two for the Money (2005)
Al Pacino|Ultimate Fights from the Movies (2002)
Rocco Passionino|Adam Sandler Goes to Hell (2001)
Sean Penn|Being John Malkovich (1999)
Barry Pepper|Greatest Summer of My Life: Billy Crystal and the Making of '61*', The (2001)
Brad Pitt|Being John Malkovich (1999)
Byrne Piven|Being John Malkovich (1999)
Vladimir Putin|Cheshmane John Malkovich (2004)
Paul Reubens|Back to the Beach (1987)
Paul Reubens|Batman Returns (1992)
Paul Reubens|Beauty and the Beast: The Enchanted Christmas (1997)
Paul Reubens|Big Top Pee-wee (1988)
Paul Reubens|Blow (2001)
Paul Reubens|Blues Brothers, The (1980)
Paul Reubens|Buddy (1997)
Paul Reubens|Buffy the Vampire Slayer (1992)
Paul Reubens|Cheech & Chong's Next Movie (1980)
Paul Reubens|Doctor Dolittle (1998)
Paul Reubens|Dream On (1981)
Paul Reubens|Dunston Checks In (1996)
Paul Reubens|Flight of the Navigator (1986)
Paul Reubens|Matilda (1996)
Paul Reubens|Mayor of the Sunset Strip (2003)
Paul Reubens|Meatballs Part II (1984)
Paul Reubens|Midnight Madness (1980)
Paul Reubens|Moonwalker (1988)
Paul Reubens|Mystery Men (1999)
Paul Reubens|Nice Dreams (1981)
Paul Reubens|Nightmare Before Christmas, The (1993)
Paul Reubens|Pandemonium (1982)
Paul Reubens|Pee-wee's Big Adventure (1985)
Paul Reubens|Pray TV (1980)
Paul Reubens|South of Heaven, West of Hell (2000)
Paul Reubens|Spotlight on Location: Mystery Men (2000)
Paul Reubens|Star Tours (1987)
Paul Reubens|Teacher's Pet (2004)
Hamed Rezai|Cheshmane John Malkovich (2004)
Alan Rickman|Awfully Big Adventure, An (1995)
Alan Rickman|Blow Dry (2001)
Alan Rickman|Bob Roberts (1992)
Alan Rickman|Check the Gate: Putting Beckett on Film (2003)
Alan Rickman|Close My Eyes (1991)
Alan Rickman|Closet Land (1991)
Alan Rickman|Dark Harbor (1998)
Alan Rickman|Die Hard (1988)
Alan Rickman|Die Hard: With a Vengeance (1995)
Alan Rickman|Dogma (1999)
Alan Rickman|Galaxy Quest (1999)
Alan Rickman|Harry Potter and the Chamber of Secrets (2002)
Alan Rickman|Harry Potter and the Goblet of Fire (2005)
Alan Rickman|Harry Potter and the Prisoner of Azkaban (2004)
Alan Rickman|Harry Potter and the Sorcerer's Stone (2001)
Alan Rickman|Hjaelp, jeg er en fisk (2000)
Alan Rickman|January Man (1989)
Alan Rickman|Judas Kiss (1998)
Alan Rickman|Judge Not: In Defense of Dogma (2001)
Alan Rickman|Love Actually (2003)
Alan Rickman|Lumiere et compagnie (1995)
Alan Rickman|Mesmer (1994)
Alan Rickman|Michael Collins (1996)
Alan Rickman|Play (2000)
Alan Rickman|Quigley Down Under (1990)
Alan Rickman|Robin Hood: Prince of Thieves (1991)
Alan Rickman|Search for John Gissing, The (2001)
Alan Rickman|Sense and Sensibility (1995)
